epoch,time_elapsed,rollout_ep_steps,total_rollout_steps,rollout_return,actor_lr,critic_lr,,,,,
56.70497394,50000,0.001,200,-220.7087521,249,0.0001,,,,11.536132,0.51005024
56.94066501,50200,0.001,200,-232.0482685,250,0.0001,,,,11.612741,0.65469986
57.17379618,50400,0.001,200,-234.7096482,251,0.0001,,,,11.6503935,0.6094896
57.41550136,50600,0.001,200,-236.0677771,252,0.0001,,,,11.762481,0.53501314
57.65876889,50800,0.001,200,-217.1300537,253,0.0001,,,,11.698369,0.5710883
57.89850545,51000,0.001,200,-228.7096423,254,0.0001,,,,11.757766,0.5576627
58.1347146,51200,0.001,200,-200.0724001,255,0.0001,,,,11.849735,0.71819913
58.37241864,51400,0.001,200,-243.8969187,256,0.0001,,,,11.833255,0.5700164
58.61263561,51600,0.001,200,-225.4053743,257,0.0001,,,,11.955537,0.49480453
58.8546772,51800,0.001,200,-243.8447402,258,0.0001,,,,11.949291,0.5491899
59.09291053,52000,0.001,200,-236.8223634,259,0.0001,,,,11.979958,0.5934942
59.32833815,52200,0.001,200,-230.5348505,260,0.0001,,,,12.018917,0.49897438
59.56889987,52400,0.001,200,-238.3507689,261,0.0001,,,,12.155848,0.49898326
59.80508828,52600,0.001,200,-215.3045598,262,0.0001,,,,12.249284,0.65350515
60.04525805,52800,0.001,200,-232.7310728,263,0.0001,,,,12.123331,0.55101633
60.28417587,53000,0.001,200,-206.2161289,264,0.0001,,,,12.267474,0.5953163
60.52137852,53200,0.001,200,-215.3156848,265,0.0001,,,,12.296361,0.5657257
60.76194811,53400,0.001,200,-233.1450902,266,0.0001,,,,12.268882,0.6057048
60.99797916,53600,0.001,200,-224.1902215,267,0.0001,,,,12.371771,0.59798944
61.2358017,53800,0.001,200,-234.7523043,268,0.0001,,,,12.293597,0.6670552
61.47234559,54000,0.001,200,-233.4912775,269,0.0001,,,,12.453931,0.601266
61.71227121,54200,0.001,200,-231.3973218,270,0.0001,,,,12.545947,0.72101355
61.95032525,54400,0.001,200,-241.2862261,271,0.0001,,,,12.528751,0.8123457
62.18981004,54600,0.001,200,-213.1325247,272,0.0001,,,,12.485715,0.6347039
62.42767835,54800,0.001,200,-211.9914877,273,0.0001,,,,12.499498,0.62351525
62.66356993,55000,0.001,200,-209.4316049,274,0.0001,,,,12.57161,0.731926
62.90000463,55200,0.001,200,-235.6459186,275,0.0001,,,,12.641514,0.6674249
63.13520789,55400,0.001,200,-220.3200657,276,0.0001,,,,12.736078,0.7006089
63.3746717,55600,0.001,200,-227.1045832,277,0.0001,,,,12.689788,0.697882
63.61654735,55800,0.001,200,-219.725678,278,0.0001,,,,12.85093,0.8576819
63.85352206,56000,0.001,200,-229.6413882,279,0.0001,,,,12.905022,0.6295919
